Country,Region,City,Name,Street,Zip,Latitude,Longitude
China,Gaoxing,Chengdu,IKEA Chengdu Gaoxin,Yizhou Avenue,NaN,30.73345198761404,104.10359715071796
China,Dongli,Tianjin,IKEA Tianjin Dongli,No.433 Jintang Road,NaN,39.08031824870439,117.36315999789278
China,Xiqing,Tianjin,IKEA Tianjin Zhongbei,No.7 Wanhui Road,NaN,39.091647873266005,117.31679845683936
China,Yunnan,Kunming,IKEA Kunming,Wuhua,NaN,25.044478445897727,102.71557481101628
China,Yuhang,Hangzhou,IKEA Hangzhou,No.5 West Qiaomo Road,NaN,30.180396099469277,120.25384453997016
China,Zhejiang,Ningbo,IKEA Ningbo,NO.525 Yiyuan Road,NaN,29.84240379914893,121.60288062461603
Croatia,NaN,Sesvete-Kraljevec,IKEA Zagreb,Ulica Alfreda Nobela 2,10361,45.83214834804998,16.15565247043798
Cyprus,NaN,Strovolos,IKEA Nicosia,Verginas 1,2030,35.129828497442375,33.373164710646726
Czech Republic,Dolní Heršpice,Brno,IKEA Brno,Skandinávská 4,NaN,49.1560598,16.6278112
Czech Republic,Zábřeh,Ostrava,IKEA Ostrava,Rudná 110,NaN,49.7990733,18.22780476781016
Czech Republic,Černý Most,Praha ,IKEA Praha – Černý Most,Chlumecká 664/10,NaN,50.10430755,14.587133838522572
Czech Republic,NaN,Praha ,IKEA Praha – Zličín,Skandinávská 131/1,NaN,50.05106215,14.298311923884476
Denmark,NaN,Taastrup,IKEA Taastrup,Mårkærvej 15,2630,55.6596389,12.286572749060822
Denmark,NaN,Gentofte,IKEA Gentofte,Nybrovej 2,NaN,55.7532973,12.52046525359994
Denmark,NaN,Odense,IKEA Odense,Ørbækvej 91,NaN,55.38055935,10.42977647439326
Denmark,NaN,Aalborg,IKEA Aalborg,Krebsen 40,NaN,56.9959774,9.864966027653283
Denmark,NaN,Aarhus N,IKEA Aarhus,Graham Bells Vej 7-11,NaN,56.202866,10.181239729483778
Dominican Republic,NaN,NaN,IKEA Santo Domingo,NaN,10103,18.485335643731528,-69.93874391626086
Dominican Republic,NaN,Punta Cana,IKEA Bavaro,NaN,23000,18.72202357173272,-68.37066661061345
Dominican Republic,NaN,NaN,IKEA Santiago De Los Caballeros,NaN,NaN,19.53164226089661,-70.68328862810596
